taxa,division,genus,fullname,run,label,labelfitms1,labelfitms2,tco2.res,tco2.res.sd,tco2.res.se,abs.res,abs.res.var,abs.res.sd,reps,abs.res.se,tco2.obs,tco2.obs.sd,tco2.obs.se,co2.obs,co2.obs.sd,co2.obs.se,hco3.obs,hco3.obs.sd,hco3.obs.se,co3.obs,co3.obs.sd,co3.obs.sd,tco2.exp.control.ta,tco2.exp.control.ta.sd,tco2.exp.control.ta.se,hco3.exp.control.ta,hco3.exp.control.ta.sd,hco3.exp.control.ta.se,co3.exp.control.ta,co3.exp.control.ta.sd,co3.exp.control.ta.se,co2.exp.control.ta,co2.exp.control.ta.sd,co2.exp.control.ta.se,control.ta.n,tco2.exp.pH.calc,tco2.exp.pH.calc.sd,tco2.exp.pH.calc.se,hco3.exp.pH.calc,hco3.exp.pH.calc.sd,hco3.exp.pH.calc.se,oeratio.hco3.pH.calc,hco3.percent,oeratio.hco3.pH.calc.sd,oeratio.hco3.pH.calc.se,oeratio.co3.pH.calc,oeratio.co3.pH.calc.sd,oeratio.co3.pH.calc.se,oeratio.co2.pH.calc,co2.percent,oeratio.co2.pH.calc.sd,oeratio.co2.pH.calc.se,prop.co2.pH.calc,prop.co2.pH.calc.sd,prop.co2.pH.calc.se,prop.co3.pH.calc,prop.co3.pH.calc.sd,prop.co3.pH.calc.se,prop.hco3.pH.calc,prop.hco3.pH.calc.sd,prop.hco3.pH.calc.se,diff.in.percent.hco3.pH.calc,diff.in.percent.hco3.pH.calc.sd,diff.in.percent.hco3.pH.calc.se,diff.in.percent.co3.pH.calc,diff.in.percent.co3.pH.calc.sd,diff.in.percent.co3.pH.calc.se,diff.in.percent.co2.pH.calc,diff.in.percent.co2.pH.calc.sd,diff.in.percent.co2.pH.calc.se,co3exp.pH.calc,co3.exp.pH.calc.sd,co3.exp.pH.calc.se,co2.exp.pH.calc,co2.exp.pH.calc.sd,co2.exp.pH.calc.se,delta.hco3.pH.calc,Bicarbonate,delta.hco3.pH.calc.sd,delta.hco3.pH.calc.se,delta.hco3.pH.calc.25,Bicarbonate.25,delta.hco3.pH.calc.sd.25,delta.hco3.pH.calc.se.25,delta.co3.pH.calc,Carbonate,delta.co3.pH.calc.sd,delta.co3.pH.calc.se,delta.co3.pH.calc.25,Carbonate.25,delta.co3.pH.calc.sd.25,delta.co3.pH.calc.se.25,delta.co2.pH.calc,CarbonDioxide,delta.co2.pH.calc.sd,delta.co2.pH.calc.se,delta.co2.pH.calc.25,CarbonDioxide.25,delta.co2.pH.calc.sd.25,delta.co2.pH.calc.se.25,pH.calc.n,pH.calc.value,pH.calc.value.sd,pH.calc.value.se,deltapH.calc.drift,pH.48,diff.48,diff.sd.48,diff.se.48,abs.diff.48,abs.diff.sd.48,abs.diff.se.48,estimate.48,diff.36,diff.sd.36,diff.se.36,abs.diff.36,abs.diff.sd.36,abs.diff.se.36,estimate.36,fgroup1,fgroup2,division,divisionfamily,seaweed,bicarb.user.num,bicarb.user.text,pH.drift,pH.drift.sd,pH.drift.se,pH.drift.reps,delta.pH.alk.calc,delta.pH.alk.calc.sd,delta.pH.alk.calc.se,pH.alk,pH.alk.sd,pH.alk.se,type,ta,tase,tadiff,tadiffse,tanorm,zonet,range.limit,range.limit.num,areamass,degas,degas.se
Halosaccion,Rhodophyta,Halosaccion,Hallosaccion glandiformis,12,Hg,Hg,Hg,-129.9580159505,51.3052497934,20.94528052,129.9580159505,2632.2286563627,51.3052497934,6,20.94528052,648.8,56.5953001582,23.1049345379,0.0036688333,0.0041789697,0.0017060572,74.7833333333,10.9100717993,4.4540181609,574.0429415,48.0495254001,19.6161366022,778.7580159505,29.323017614,4.8871696023,89.7744338308,11.0982297546,1.8497049591,688.9748499528,18.6871846078,3.114530768,0.008731673,0.0019364168,0.0003227361,36,648.8,52.3970664391,8.7328444065,52.8133762445,11.0689338707,1.8448223118,1.4444978646,111-300%,0.1819006541,0.0742606311,0.9627486594,0.0127543055,0.0052069234,0.9949079687,<110%,1.0419337309,0.4253676644,0.0005490732,0.0005715479,0.0002333335,88.5082289489,0.9998319151,0.4081796701,11.4957806016,1.0039266825,0.4098513519,3.437277468,1.1956695838,0.4881300635,-3.432735602,1.192653972,0.4868989452,1.63720944444444E-005,0.0005413134,0.0002209903,595.9830978974,41.4750430146,6.9125071691,0.0035281916,0.0012253113,0.0002042185,14.2852287305,14.2852287305,5.0915852721,0.8485975453,21.9699570889,21.9699570889,7.1010030664,1.1835005111,-14.2844718208,-14.2844718208,5.0611640475,0.8435273412,-21.9401563974,-21.9401563974,7.0813206407,1.1802201068,0.001017623,0.001017623,0.0004298448,7.16407953575147E-005,0.0001406418,0.0001406418,0.0035900956,0.0005983493,36,10.1854415735,0.0622875987,0.0103812664,0.2062250932,,0.085,0.1418449858,0.057907973,0.0916666667,0.1367723169,0.0558370646,n,,,,,,,,sheet group,sheet group,Rhodophyta,Rhodophyta,Red,1,Present,10.3916666667,0.0343025752,0.0057170959,6,-0.1727749068,0.0642967867,0.0262490533,10.0126666667,0.0462327445,0.0188744389,Red,2030.6667,39.4535,-244.8333,47.0535,1971.7167,mid,high,3,103.5520391415,0.085,0.057907973
Hymenena,Rhodophyta,Hymenena,Hymenena multiloba,13,Hm,Hm,Hm,-161.6988265991,72.3966169543,36.1983084771,161.6988265991,5241.2701464255,72.3966169543,4,36.1983084771,1509.95,92.46727349,46.233636745,2.875,0.7135591543,0.3567795771,1159.4,103.3014036691,51.6507018345,347.675,34.3826870193,17.1913435096,1671.6488265991,55.109454915,6.8886818644,1283.3399607813,81.9262795406,10.2407849426,385.1295689641,32.3371949362,4.042149367,3.1793057365,0.6486864898,0.0810858112,64,1509.95,82.705243687,20.6763109218,1020.426995302,135.2318886196,33.8079721549,1.1439710412,111-300%,0.066987756,0.033493878,0.7204789154,0.1037818134,0.0518909067,1.8701848173,111-300%,0.3950265462,0.1975132731,0.1892774623,0.03593271,0.017966355,23.1113800528,2.6403860244,1.3201930122,76.6991905168,2.6096999829,1.3048499914,9.3864133345,4.048419869,2.0242099345,-9.4687457026,4.0749232117,2.0374616059,0.0821784025,0.0342535478,0.0171267739,487.8793717929,53.6057745769,13.4014436442,1.6436635002,0.619369622,0.1548424055,143.4343314946,143.4343314946,65.3694050929,16.3423512732,138.973004698,138.973004698,57.0883332044,14.2720833011,-144.4536256022,-144.4536256022,65.7432186617,16.4358046654,-140.2043717929,-140.2043717929,57.4782767705,14.3695691926,1.0382939692,1.0382939692,0.4842209175,0.1210552294,1.2313364998,1.2313364998,0.5184219993,0.1296054998,16,8.8166934252,0.1057473923,0.0264368481,0.0008065748,,0.0233333333,0.1378404875,0.0562731434,0.1088888889,0.0736558564,0.0300698775,y,0.695,0.2377113095,0.0970452357,0.695,0.2377113095,0.0970452357,,course branch,course branch,Rhodophyta,Rhodophyta,Red,0,Absent,8.8175,0.0427200187,0.0106800047,4,-0.2039434252,0.0922053756,0.0461026878,8.61275,0.0719276257,0.0359638128,Red,2031.25,44.4773,-244.25,51.3173,1972.3,low,low,1,238.7555697196,0.0233333333,0.0562731434
Lithothamnion,Rhodophyta,Lithothamnion,Lithothamnion phymatodeum,12,Lp,Lp,Lp,-155.4253804525,50.3701033606,25.1850516803,155.4253804525,2537.1473125589,50.3701033606,4,25.1850516803,1617.6,91.6376923906,45.8188461953,4.0058365,0.9732416447,0.4866208224,1296.125,115.4422907777,57.7211453888,317.44770575,32.3698264795,16.1849132397,1773.0253804525,55.7453258286,11.3789669854,1420.1089454583,89.1804309172,18.2038792324,348.5345472542,35.6249329058,7.2719089783,4.3818845054,0.8979965911,0.1833027866,24,1617.6,81.0674437415,16.5478226599,1164.9960780901,133.3255476672,27.2149634551,1.1172745248,111-300%,0.0461834329,0.0230917165,0.7102482642,0.0684086837,0.0342043419,1.7868324599,111-300%,0.2955471261,0.147773563,0.2458586281,0.0441501201,0.0220750601,19.7350107596,2.668366724,1.334183362,80.0178180772,2.624338655,1.3121693275,8.2231353664,2.8136914159,1.4068457079,-8.3272836108,2.8294979785,1.4147489893,0.1028370723,0.028813983,0.0144069915,450.2592508393,53.9341209089,11.0092563294,2.344648251,0.7761808944,0.1584372616,134.242436776,134.242436776,45.1525172005,11.2881293001,131.1289219099,131.1289219099,40.560845704,8.2794479592,-135.6576648748,-135.6576648748,45.3660922529,11.3415230632,-132.8115450893,-132.8115450893,40.8020715307,8.3286879749,1.406123304,1.406123304,0.4336904775,0.1084226194,1.661188249,1.661188249,0.4681527214,0.0955612741,24,8.7115541299,0.1023777065,0.0208977618,-0.0240541299,,0.003,0.0368580862,0.0116555503,0.0283333333,0.0218298697,0.0069032109,n,0.1133333334,0.0605530071,0.0247206616,0.1133333334,0.0605530071,0.0247206616,,crustose,crustose,Rhodophyta,Corallinaceae,Red calcifying,0,Absent,8.6875,0.075,0.01875,4,-0.1983041299,0.0621416871,0.0310708435,8.51325,0.0796717223,0.0398358611,Red calcifying,2089.25,30.8555,-186.25,38.4555,2030.3,low,low,1,NA,0.003,0.0116555503
Mastocarpus alaskensis,Rhodophyta,Mastocarpus,Mastocarpus alaskensis,13,Ma,Ma,Ma,-63.4203271866,127.3342611262,63.6671305631,117.8984827042,3043.461625234,55.1675776633,4,27.5837888316,953.375,205.4556622891,102.7278311446,0.08212975,0.0664974659,0.0332487329,275.975,118.1183693024,59.0591846512,677.3079945,87.6095415748,43.8047707874,1016.7953271866,74.8239991993,9.3529998999,287.6634478781,78.131527142,9.7664408927,729.0428337172,15.7977356346,1.9747169543,0.0890423466,0.0431479784,0.0053934973,64,953.375,183.7651308963,45.9412827241,258.3489233617,178.1015110515,44.5253777629,1.3249289085,111-300%,0.4170322514,0.2085161257,0.9770637773,0.1212317451,0.0606158725,1.0662967947,<110%,0.8718776657,0.4359388329,0.0077248777,0.0050520077,0.0025260038,72.112383924,6.0786874476,3.0393437238,27.8778317848,6.080239412,3.040119706,3.0961560877,7.8515829264,3.9257914632,-3.0968250071,7.8608262425,3.9304131213,-0.0013908496,0.0070852571,0.0035426285,694.9231360396,46.3714551596,11.5928637899,0.1029532125,0.1277991639,0.031949791,15.5997446379,15.5997446379,100.2941778782,25.0735444696,17.6260766383,17.6260766383,82.0875279225,20.5218819806,-15.5828752527,-15.5828752527,100.3919435497,25.0979858874,-17.6151415396,-17.6151415396,82.1806793573,20.5451698393,-0.0165472459,-0.0165472459,0.0726927826,0.0181731956,-0.0208234625,-0.0208234625,0.0815335146,0.0203833787,16,9.6720427871,0.3209424874,0.0802356218,0.2204572129,,-0.1116666667,0.1186591758,0.0484424057,0.1116666667,0.1186591758,0.0484424057,y,0.1466666667,0.1339651696,0.0546910515,0.1533333333,0.124686273,0.0509029578,,sheet group,course branch,Rhodophyta,Rhodophyta,Red,1,Present,9.8925,0.2334345019,0.0583586255,4,-0.1135427871,0.2131624499,0.106581225,9.5585,0.1565641509,0.0782820754,Red,2114.75,111.2065,-112.5,118.0465,2104.05,mid,high,3,68.6114025408,-0.1116666667,0.0484424057
Neorhodomela,Rhodophyta,Neorhodomela,Neorhodomela larix,13,Nl,Nl,,97.1253746033,128.8803734167,64.4401867083,102.6860305786,15128.7073397917,122.9988103186,4,61.4994051593,1219.55,131.324851672,65.662425836,0.186185,0.02763,0.013815,452.125,58.6809665337,29.3404832669,767.1977365,81.9692846325,40.9846423162,1122.4246253967,29.0180960482,3.627262006,416.1521495438,29.7926885052,3.7240860631,706.0926502094,14.9552006437,1.8694000805,0.1798164295,0.0264333951,0.0033041744,64,1219.55,117.4605181894,29.3651295474,564.0993415109,179.6950484713,44.9237621178,0.8465502049,<110%,0.1562435316,0.0781217658,1.1929769556,0.2448700073,0.1224350037,0.6661344276,<110%,0.3418062418,0.1709031209,0.0153066288,0.0019533162,0.0009766581,62.9422006803,1.9463080735,0.9731540368,37.0392803239,1.9471622816,0.9735811408,-8.3394354229,9.5123031771,4.7561515886,8.3531255334,9.5319808244,4.7659904122,-0.0169022235,0.0219842532,0.0109921266,655.0345063843,62.9604716315,15.7401179079,0.4161542383,0.319649758,0.0799124395,-122.0728361856,-122.0728361856,161.9369632856,40.4842408214,-111.9743415109,-111.9743415109,134.4200710978,33.6050177744,122.2611761757,122.2611761757,162.1801143834,40.5450285959,112.1632301157,112.1632301157,134.6954936238,33.673873406,-0.1824635423,-0.1824635423,0.2784920656,0.0696230164,-0.2299692383,-0.2299692383,0.309741933,0.0774354833,16,9.2179562449,0.1725726047,0.0431431512,0.2795437551,,,,,,,,y,,,,,,,,course branch,course branch,Rhodophyta,Rhodophyta,Red,1,Present,9.4975,0.0537742193,0.0134435548,4,0.1487937551,0.1878110344,0.0939055172,9.36675,0.0408033904,0.0204016952,Red,2388,104.9611,160.75,111.8011,2377.3,high,high,3,NA,,
Odonthalia,Rhodophyta,Odonthalia,Odonthalia floccosa,11,Of,,,-114.6454528809,101.3780015522,41.3873958243,137.6864201864,3300.734673753,57.4520206238,6,23.4546892033,1127.9333333333,112.4569013741,45.9103377368,0.35,0.0547722558,0.0223606798,538.2666666667,66.8296540966,27.2830920372,589.3,49.2367748741,20.1008291703,1242.5787862142,28.1872021186,2.8768442695,592.1852645875,29.6840145624,3.0296120498,649.9989998375,14.7993867459,1.5104560847,0.3945240296,0.0429906077,0.0043877105,96,1127.9333333333,104.1148596503,17.3524766084,410.8820132695,145.1835841128,24.1972640188,1.4111190529,111-300%,0.3125800134,0.1276102561,0.8289738646,0.1209919415,0.0493947533,2.7081736676,111-300%,1.643675597,0.6710277525,0.0310087075,0.0033517039,0.0013683274,52.333023586,1.5666705782,0.6395905853,47.6344191915,1.5646228421,0.6387546005,12.0114557324,8.1181138167,3.3142060875,-12.0271509694,8.1310265873,3.319477704,0.0141470901,0.0125938782,0.0051414292,716.8491880526,42.734717035,7.1224528392,0.2021253209,0.1693787201,0.0282297867,144.0503906241,144.0503906241,105.156597203,17.5260995338,127.3846533971,127.3846533971,86.8670921558,14.4778486926,-144.181919909,-144.181919909,105.2667841569,17.5444640262,-127.5491880526,-127.5491880526,87.0163483796,14.5027247299,0.1267790671,0.1267790671,0.1105476306,0.0184246051,0.1478746792,0.1478746792,0.1451415701,0.0241902617,36,9.4014783965,0.1714497069,0.0285749512,-0.0164783965,,0.1266666667,0.1366260102,0.0557773351,0.13,0.1328156617,0.0542217668,n,0.417,0.1670628624,0.068203128,0.417,0.1670628624,0.068203128,,course branch,course branch,Rhodophyta,Rhodophyta,Red,1,Present,9.385,0.0137840488,0.0022973415,6,-0.2244783965,0.167153297,0.0682400478,9.177,0.0294414674,0.0120194287,Red,2054.8333,63.3979,-209.0000333333,69.1079,2007.5499666667,low/mid,mid,2,NA,0.1266666667,0.0557773351
Phyllospadix scouleri,Tracheophyta,Phyllospadix,Phyllospadix scouleri,11,Ps,Ps,Ps,-756.5885953268,177.2535881823,72.363474354,756.5885953268,31418.8345235099,177.2535881823,6,72.363474354,431.4833333333,114.0387200326,46.5561125,0.1166666667,0.040824829,0.0166666667,180.1,31.521865427,12.8687476728,251.2833333333,92.9354704441,37.9407469323,1188.0719286601,74.220419165,7.5750898104,512.8967970458,104.9044788777,10.706768541,674.8730695646,35.4903858771,3.6222223406,0.3020583213,0.131268748,0.0133975605,96,431.4833333333,105.5793391585,17.5965565264,23.8378372949,10.8276540468,1.8046090078,8.5579488943,>500%,2.4128598244,0.9850458985,0.6042003329,0.0722778989,0.0295073287,160.8954690714,>500%,92.2344439325,37.6545540573,0.0287243463,0.0114619218,0.00467931,57.1737904143,6.3152487384,2.5781895013,42.8017099965,6.3117416823,2.5767577516,37.5267607629,7.1388469138,2.9144220484,-37.5510378668,7.1428254484,2.9160462784,0.0285008926,0.0115240284,0.0047046649,407.6444369652,94.8662239753,15.8110373292,0.0010607181,0.0007226115,0.0001204353,151.9228340921,151.9228340921,27.5853992479,4.5975665413,156.2621627051,156.2621627051,23.2123321929,3.8687220322,-151.9912899053,-151.9912899053,27.5841497679,4.5973582946,-156.3611036318,-156.3611036318,23.2120868279,3.868681138,0.0656301362,0.0656301362,0.0285582394,0.0047597066,0.1156059486,0.1156059486,0.0379689043,0.0063281507,36,10.3982976013,0.087802198,0.0146336997,-0.634964268,,0.035,0.1686119806,0.0688355528,0.135,0.0896102673,0.0365832384,n,0.1553333333,0.1967400993,0.0803188092,0.1746666667,0.1762119935,0.0719382451,,sheet group,sheet group,Viridiplante,Viridiplante,Surfgrass,1,Present,9.7633333333,0.0818942407,0.0136490401,6,-1.1342976013,0.2024271215,0.0826405263,9.264,0.1222227475,0.0498972277,Surfgrass,1049.6667,97.8007,-1214.1666333333,103.5107,1002.3833666667,mid/high,high,3,NA,0.035,0.0688355528
Porphyra,Rhodophyta,Porphyra,Porphyra sp,13,Psp,Psp,Psp,149.004718399,55.22527405,27.612637025,149.004718399,3049.8308938941,55.22527405,4,27.612637025,1205.475,78.6782636226,39.3391318113,0.125,0.05,0.025,378,92.1651778059,46.082588903,827.35,49.7576459786,24.8788229893,1056.470281601,61.3657764465,7.6707220558,332.0034886688,73.6408146114,9.2051018264,724.3494516141,20.5428219141,2.5678527393,0.1173390162,0.0543766141,0.0067970768,64,1205.475,70.3719783247,17.5929945812,540.0312029207,105.5301891511,26.3825472878,0.7024808352,<110%,0.0895197999,0.0447598999,1.2473055527,0.0931991139,0.0465995569,0.4017181305,<110%,0.1109771006,0.0554885503,0.0102559919,0.0031284714,0.0015642357,68.8430006241,5.3014732141,2.6507366071,31.1467179507,5.2957804326,2.6478902163,-13.3181466223,4.3862098978,2.1931049489,13.3353561104,4.3959872116,2.1979936058,-0.0172335432,0.0085472125,0.0042736063,665.1055768484,35.956773068,8.989193267,0.3382025019,0.1461820429,0.0365455107,-181.8480855151,-181.8480855151,69.794940498,17.4487351245,-162.0312029207,-162.0312029207,56.977750692,14.244437673,182.0129362878,182.0129362878,69.9218699466,17.4804674866,162.2444231516,162.2444231516,57.1045205559,14.276130139,-0.1655695939,-0.1655695939,0.093143784,0.023285946,-0.2132025019,-0.2132025019,0.1148433324,0.0287108331,16,9.2337944508,0.1084297836,0.0271074459,0.3812055492,,0.24,0.0361478446,0.0147572957,0.24,0.0361478446,0.0147572957,y,,,,,,,,sheet group,sheet group,Rhodophyta,Rhodophyta,Red,1,Present,9.615,0.2131509637,0.0532877409,4,0.2514555492,0.0919121772,0.0459560886,9.48525,0.1204501972,0.0602250986,Red,2482,47.8661,254.75,54.7061,2471.3,low,low,1,473.5939367463,0.24,0.0147572957
Pseudophyllum whidbeynse,Rhodophyta,Pseudolithophyllum,Pseudophyllum whidbeynse,12,Pw,Pw,Pw,-122.8697949219,46.9246085353,20.9853229005,122.8697949219,2201.9188861899,46.9246085353,5,20.9853229005,1832.62,68.7903481602,30.7639789364,9.1685484,2.0398457873,0.9122467688,1609.7,84.1561049479,37.635754277,213.763354,25.7221226913,11.5032829727,1955.4897949219,42.0700881245,7.6809120873,1717.4660458,64.1000267677,11.7030101991,228.24893351,25.5353602197,4.6620976021,9.774823929,1.9201697883,0.3505734358,30,1832.62,62.5797940288,11.4254549445,1517.7126498906,103.2621565061,18.8530041517,1.0622548965,<110%,0.0286106586,0.0127950755,0.6980939169,0.0818255008,0.0365934764,1.6476981747,111-300%,0.2760809508,0.1234671546,0.4981852594,0.0871455133,0.0389726583,11.7015500848,1.5197428808,0.679649678,87.8008873119,1.4337664105,0.6411998316,5.0776637756,2.1405719559,0.9572928808,-5.2648924159,2.175045038,0.9727097118,0.1878520686,0.0575553206,0.0257395219,309.1794115945,43.1936441445,7.8860444129,5.7279231491,1.4508276003,0.2648836679,92.9238602202,92.9238602202,37.5099135841,7.5019827168,91.9873501094,91.9873501094,35.702067974,6.518275993,-95.8604191743,-95.8604191743,37.9653113745,7.5930622749,-95.4160575945,-95.4160575945,36.2832638217,6.6243873517,2.9398509457,2.9398509457,0.962486698,0.1924973396,3.4406252509,3.4406252509,1.0711077655,0.1955566282,30,8.4306012154,0.0890674656,0.01626142,0.0473987846,,0.013,0.0228035085,0.010198039,0.019,0.0167332005,0.0074833148,n,,,,,,,,crustose,crustose,Rhodophyta,Corallinaceae,Red calcifying,0,Absent,8.478,0.1015874008,0.0203174802,5,-0.1850012154,0.0630240032,0.0281851911,8.2456,0.072493448,0.0324200555,Red calcifying,2138.8,23.6123,-136.7,31.2123,2079.85,low,low,1,NA,0.013,0.010198039
Saccharina grandlandica,Ochrophyta,Saccharina,Saccharina grandlandica,11,Sg,Sg,,-0.8530398051,30.2600157143,12.3535996848,20.2136838277,426.2301466564,20.6453420087,6,8.4284255811,1378.2666666667,28.2656446356,11.5394011013,0.8344758333,0.1300568526,0.0530954878,805.5166666667,48.1849942064,19.6714415108,571.9003858333,31.3007870056,12.7784927852,1379.1197064718,40.2942592489,4.1125156135,806.461807024,54.2931896508,5.5412754647,571.8214473542,21.9169446147,2.2368887928,0.8364670831,0.1295690193,0.0132240827,96,1378.2666666667,26.1689019367,4.3614836561,780.7785775074,42.7186462085,7.1197743681,1.0323629703,<110%,0.0406178694,0.0165821757,0.958852078,0.0483339176,0.0197322392,1.1206812523,111-300%,0.15400981,0.0628742417,0.0604603201,0.0081580169,0.0033304965,41.5211914152,2.5086076343,1.0241347781,58.4172813319,2.5005697313,1.020853318,1.8043080471,2.2012346491,0.8986502824,-1.8115794614,2.2067881795,0.9009175017,0.0062060367,0.0072112915,0.0029439974,596.7387581114,18.1992410908,3.0332068485,0.7493096662,0.1014000587,0.0169000098,26.1878467726,26.1878467726,32.3141669937,5.385694499,24.7380891593,24.7380891593,29.7022219782,4.9503703297,-26.2850075674,-26.2850075674,32.3966382184,5.3994397031,-24.8383722781,-24.8383722781,29.7768075625,4.9628012604,0.0712462238,0.0712462238,0.0838144694,0.0139690782,0.0851661671,0.0851661671,0.0974102494,0.0162350416,36,9.01981669,0.0368406416,0.0061401069,0.1235166433,,0.2125,0.1324849906,0.0382451225,0.2275,0.101746119,0.0293715746,n,0.4193333333,0.1577162777,0.0455287677,0.4193333333,0.1577162777,0.0455287677,,thick leathery,course branch,Phaeophyta,Phaeophyta,Brown,1,Present,9.1433333333,0.0320416396,0.0053402733,6,-0.03231669,0.0402872017,0.0164471812,8.9875,0.0480863806,0.0196311827,Brown,2229.1667,17.3674,-34.6666333333,23.0774,2181.8833666667,mid,high,3,158.4184677431,0.2125,0.0382451225
Ulva intestinalis,Chlorophyta,Ulva,Ulva intestinalis,9,Ui,Ui,Ui,-462.3205932617,56.0191527554,25.0525267206,462.3205932617,3138.1454754365,56.0191527554,5,25.0525267206,579.6,220.8700409743,98.7760851624,0.22,0.491934955,0.22,230.28,246.0060100892,110.0172322866,349.06,47.8432126848,21.396135165,1041.9205932617,219.1360373087,40.0085835988,390.3924369067,320.8872325667,58.5857252307,651.1617139267,103.7757186812,18.9467673477,0.3664447069,0.6320926629,0.1154038033,30,579.6,200.9293751374,36.6845170761,77.5676739821,94.1887926356,17.1964421302,3.6249320213,301-500%,0.7013752593,0.3136645515,0.7263158644,0.1587299502,0.0709861917,3.2490768268,301-500%,6.6571476289,2.9771669269,0.0228310502,0.0464427057,0.0207698094,66.2212053708,18.3727883755,8.2165607488,33.7466978136,18.332306214,8.1984565758,23.1654441252,10.0434706245,4.4915766093,-23.1958704623,10.0802635603,4.5080309104,0.0211604113,0.0436797445,0.0195341756,502.0173976458,109.6100698387,20.0119692601,0.0149295917,0.0274293273,0.0050078871,148.324529762,148.324529762,300.5453161014,60.1090632203,152.7123260179,152.7123260179,130.2100890066,23.7730009879,-148.5137079001,-148.5137079001,133.4661384528,26.6932276906,-152.9573976458,-152.9573976458,130.6019108056,23.8445375338,0.1735708177,0.1735708177,0.382228068,0.0764456136,0.2050704083,0.2050704083,0.4203035006,0.0767365694,30,10.1902670224,0.3039967257,0.0555019547,-0.1242670224,,-0.35,0.2854061434,0.1165165701,0.35,0.2854061434,0.1165165701,n,0.0716666667,0.2034453244,0.0830562059,0.165,0.1219972678,0.049805176,,sheet group,sheet group,Chlorophyta,Chlorophyta,Green,1,Present,10.066,0.1656200471,0.0331240094,5,-0.7026670224,0.0837952214,0.0374743622,9.4876,0.3821554657,0.1709051199,Green,1354.2,47.3438,-764.3,57.8538,1452.25,mid,high,3,251.8243330244,-0.35,0.1165165701
Ulva lactuta,Chlorophyta,Ulva,Ulva lactuta,13,Ul,Ul,Ul,-393.0622358322,109.9163544172,54.9581772086,393.0622358322,12081.6049683655,109.9163544172,4,54.9581772086,592.375,172.7310891724,86.3655445862,0.025,0.05,0.025,157.3,83.4928340238,41.7464170119,435,102.1065456602,51.0532728301,985.4372358322,78.3576843362,9.794710542,253.5827084891,85.3290554284,10.6661319286,731.7827046781,18.0271535772,2.2533941972,0.0718160099,0.0507610078,0.006345126,64,592.375,154.4953828868,38.6238457217,51.0917546184,26.0444711881,6.511117797,3.2569465508,301-500%,0.5313988878,0.2656994439,0.8115580551,0.0527952628,0.0263976314,3.1343724962,301-500%,5.6137641967,2.8068820984,0.0033103814,0.0059217902,0.0029608951,74.7404571465,6.5220288609,3.2610144305,25.2482657424,6.5185787663,3.2592893831,17.221781446,4.393891692,2.196945846,-17.2324907736,4.3960962732,2.1980481366,0.0027440511,0.0056312387,0.0028156194,541.2794294011,129.4905742918,32.372643573,0.0038082464,0.0028326837,0.0007081709,97.00514841,97.00514841,66.9145448408,16.7286362102,106.2082453816,106.2082453816,49.8297461504,12.4574365376,-97.0475504094,-97.0475504094,66.9665636556,16.7416409139,-106.2794294011,-106.2794294011,49.8578965837,12.4644741459,0.0232456817,0.0232456817,0.0275616791,0.0068904198,0.0211917536,0.0211917536,0.0422491325,0.0105622831,16,10.2173329592,0.1592960295,0.0398240074,-0.2173329592,,-0.13,0.0933095208,0.0380934523,0.1411111111,0.0713572131,0.0291314602,y,1.235,0.1036661308,0.0423215207,1.235,0.1036661308,0.0423215207,,sheet group,sheet group,Chlorophyta,Chlorophyta,Green,1,Present,10,0.1811077028,0.0452769257,4,-0.5988329592,0.08426309,0.042131545,9.6185,0.1630654265,0.0815327133,Green,1540,106.4151,-687.25,113.2551,1529.3,mid,high,3,417.5821144644,-0.13,0.0380934523
